Position,City,Population,Area,Density
167,Jardim do Mulato,4504,509.85,8.83397077571835
168,Bocaina,4500,261.651,17.1984819473268
169,Ribeira do Piauí,4477,1012.479,4.42182010688617
170,Flores do Piauí,4463,946.73,4.71412123836786
171,Wall Ferraz,4462,269.987,16.5267216569687
172,Jerumenha,4452,1867.313,2.38417447958644
173,São Braz do Piauí,4448,656.361,6.77675852160625
174,Curralinhos,4443,345.848,12.8466840924337
175,Várzea Grande,4391,237.013,18.5264099437584
176,Nova Santa Rita,4374,909.734,4.80799882163358
177,Domingos Mourão,4355,848.705,5.13134717010033
178,Francisco Ayres,4348,656.475,6.62325297993069
179,Passagem Franca do Piauí,4313,643.438,6.70305452895228
180,Riacho Frio,4312,2222.096,1.94051022098055
181,Sebastião Leal,4294,3151.588,1.36248773634117
182,Paes Landim,4129,401.378,10.287061074598
183,Capitão Gervásio Oliveira,4100,1134.168,3.61498472889378
184,Lagoa do Piauí,4064,427.325,9.51032586438893
185,Pau-d'Arco do Piauí,4045,430.817,9.38913738315805
186,Coivaras,4020,485.496,8.28019180384596
187,Santa Cruz dos Milagres,4019,978.565,4.10703427978724
188,Bela Vista do Piauí,4015,499.092,8.04460900996209
189,Barra d'Alcântara,3951,263.382,15.0010251270018
190,Canavieira,3950,2162.874,1.82627374502629
191,Paquetá,3945,432.681,9.1175716058713
192,Hugo Napoleão,3877,224.455,17.2729500345281
193,Brejo do Piauí,3875,2267.326,1.70906168764439
194,Santo Inácio do Piauí,3798,852.892,4.45308432955169
195,São José do Peixe,3745,1287.174,2.90947455433376
196,Pavussu,3677,1090.697,3.37123875833527
197,Belém do Piauí,3566,243.531,14.6428996719104
198,Cajazeiras do Piauí,3559,514.364,6.91922451804559
199,Sebastião Barros,3469,893.716,3.88154626301868
200,Pajeú do Piauí,3389,986.95,3.43381123663813
201,Barreiras do Piauí,3348,2028.303,1.65064095453194
202,Francisco Macedo,3184,176.506,18.0390468312692
203,Antônio Almeida,3164,645.748,4.89974417264939
204,Prata do Piauí,3151,198.566,15.8687791464803
205,Vera Mendes,3077,341.974,8.99776006363057
206,São Gonçalo do Gurguéia,3041,1385.3,2.19519237710243
207,São Miguel do Fidalgo,3039,813.444,3.73596707333264
208,João Costa,3008,1800.244,1.67088461341907
209,Novo Santo Antônio,2991,445.331,6.71635255573944
210,Vila Nova do Piauí,2971,221.654,13.4037734487083
211,São Félix do Piauí,2942,627.157,4.69101038495943
212,Tamboril do Piauí,2919,1587.296,1.83897647319719
213,Lagoinha do Piauí,2845,67.617,42.075217770679
214,Tanque do Piauí,2765,398.723,6.93463883447907
215,Porto Alegre do Piauí,2710,1169.441,2.31734649289703
216,São Luis do Piauí,2644,217.924,12.1326701051743
217,Floresta do Piauí,2558,194.699,13.1382287531009
218,Aroeiras do Itaim,2551,316.235,8.06678577640046
219,Pedro Laurentino,2536,870.338,2.91381049661166
220,Olho d'Água do Piauí,2459,183.121,13.4282796620814
221,São Miguel da Baixa Grande,2452,445.599,5.50270534718435
222,Santo Antônio dos Milagres,2161,33.668,64.1855768088393
223,Miguel Leão,1246,93.412,13.338757333105
