Position,City,Population,Area,Density
270,Nazaré Paulista,18524,326.254,56.7778479344315
271,Guareí,18520,567.884,32.6122940600545
272,Colina,18468,422.303,43.7316334480219
273,Mirante do Paranapanema,18259,1238.931,14.7377053282225
274,Paraibuna,18222,809.576,22.5080783027165
275,Itirapina,18157,564.603,32.1588797792431
276,Cesário Lange,18148,190.392,95.3191310559267
277,Conchas,17896,466.12,38.3935467261649
278,Jacupiranga,17866,704.189,25.3710296525507
279,Elias Fausto,17772,202.36,87.8236805692825
280,Cafelândia,17767,920.28,19.3060807580302
281,Itaberá,17556,1100.247,15.9564170590786
282,Bady Bassitt,17502,110.372,158.572826441489
283,Severínia,17496,140.46,124.5621529261
284,Itariri,17436,273.667,63.7124680725115
285,Potirendaba,17361,342.492,50.6902351003819
286,Charqueada,17190,175.846,97.7559910376125
287,Macatuba,17163,224.514,76.4451214623587
288,Guapiara,17157,408.292,42.0213964515592
289,Buritama,17144,326.921,52.4408037415767
290,Salesópolis,17139,424.997,40.3273434871305
291,Pindorama,17049,184.825,92.2440146084134
292,Pedregulho,16744,712.604,23.4969211511583
293,Rosana,16643,744.011,22.3692929271207
294,Tabatinga,16496,368.604,44.7526342633287
295,Ribeirão Branco,16444,697.5,23.5756272401434
296,Ipuã,16409,466.461,35.1776461483382
297,Altinópolis,16184,928.956,17.4217078096272
298,Borborema,16046,552.256,29.0553656275351
299,Fartura,16036,429.171,37.365059614932
300,São Lourenço da Serra,15825,186.456,84.8725704723903
301,Panorama,15777,356.05,44.3111922482797
302,Tupi Paulista,15495,244.77,63.3043265106018
303,Eldorado,15494,1654.256,9.36614405509184
304,Santa Adélia,15480,330.269,46.8708840369517
305,São Simão,15322,617.252,24.8229248345894
306,Itajobi,15262,502.066,30.3983938366669
307,Pinhalzinho,15207,154.53,98.4080761017278
308,Auriflama,15189,434.498,34.957583233985
309,Itaporanga,15149,507.997,29.8210422502495
310,Tarumã,15000,302.913,49.5191688702697
311,Ipaussu,14971,209.554,71.4422058276148
312,Luiz Antônio,14947,598.257,24.9842459010091
313,Holambra,14930,65.577,227.671287189106
314,Boa Esperança do Sul,14923,690.748,21.6041161176001
315,Santa Branca,14788,272.238,54.3201169564866
316,Patrocínio Paulista,14670,602.848,24.3344922766601
317,Serra Azul,14662,283.144,51.7828384143757
318,Flórida Paulista,14640,524.138,27.9315752721611
319,Pacaembu,14197,339.375,41.8327808471455
320,Quatá,14109,651.341,21.661464578462
321,Maracaí,14002,533.498,26.2456466565948
322,Itapuí,13992,140.023,99.9264406561779
